ORDER,First Name,Last Name,Mailing Street,Mailing City,Mailing State,Mailing Zip,Phone,Phone to Name,Phone Is Valid,Phone Line Type,Phone Is Prepaid,Phone Is Commercial,Address to Name,Address Is Valid,Address Type,Address Is Active,Address Is Commercial,Call Disposition
1,Donald,Mathews,789 Cambridge Place,Hanover,MD,21076,860-452-9151,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
2,Sharon,Ogden,3929 Timber Ridge Road,Sacramento,CA,95814,213-624-4444,No match,TRUE,Landline,FALSE,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,5
3,Timothy,Villa,4493 Freedom Lane,Stockton,CA,95204,309-578-4670,Match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Unknown address type,Unknown,TRUE,1
4,Stephen,Jackson,1739 Five Points,Salisbury,MD,21875,563-574-3653,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,FALSE,6
5,Emilie,Sierra,2969 Bell Street,New York,NY,10022,408-236-9031,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
6,Roland,McQuiston,2786 Chardonnay Drive,Gainesville,FL,32601,718-468-9682,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,FALSE,6
7,Frank,Ayala,3151 Chestnut Street,Tampa,FL,33610,440-343-3935,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
8,Christina,Walker,4703 Buck Drive,South Burlington,VT,5403,209-724-9858,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,5
9,Christopher,Burke,953 Heavner Avenue,Covington,GA,30209,908-269-9052,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,FALSE,5
10,Lance,Brown,2366 Emily Renzelli Boulevard,Hollister,CA,95023,626-257-6402,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
11,George,Mash,4512 Wildwood Street,Chatham,OH,44256,702-657-9479,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
12,Melissa,Valdes,1992 Ashwood Drive,Sioux City,IA,51103,352-230-0723,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
13,Viola,Joiner,3315 Central Avenue,Newark,NJ,7102,630-432-6569,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
14,Glenda,Maxwell,3863 Southern Avenue,Urbandale,IA,50322,361-567-9223,No match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,FALSE,FALSE,1
15,Thao,Brown,4074 Andell Road,Westerville,OH,43081,407-427-3927,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
16,Edmund,Burton,3688 Rose Street,San Francisco,CA,94103,281-791-8059,No match,TRUE,Landline,FALSE,FALSE,Match,TRUE,Single unit,TRUE,FALSE,1
17,David,Payne,1057 Wiseman Street,Maryville,TN,37801,973-824-2146,Match,TRUE,Landline,FALSE,TRUE,No name found,TRUE,PO box,TRUE,FALSE,6
18,Nick,Wait,1983 Linden Avenue,Winter Park,FL,32789,850-215-2626,No match,TRUE,Landline,FALSE,TRUE,No name found,TRUE,PO box,TRUE,FALSE,6
19,Bambi,Garcia,446 Goff Avenue,Delton,MI,49046,802-369-8820,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No match,TRUE,Unknown address type,Unknown,TRUE,6
20,Crystal,Barnes,465 Grand Avenue,Apopka,FL,32703,816-250-9354,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,3
21,Shawn,Hyland,1313 Yorkie Lane,Savannah,GA,31401,678-462-8567,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
22,Richard,Hornyak,839 Patterson Street,Houston,TX,77002,480-460-9088,Match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
23,Willie,Ritzman,828 Abia Martin Drive,Commack,NY,11725,954-569-4999,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
24,Debra,Moore,4973 University Hill Road,Springfield,IL,62701,270-858-4195,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
25,Jerry,Robinson,8 Sunrise Road,Las Vegas,NV,89119,610-983-5531,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
26,Michael,Allen,4371 Bottom Lane,Buffalo,NY,14202,210-443-5566,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,PO box,TRUE,FALSE,1
27,Deborah,Mitchell,493 Poe Road,Rowland,SC,28383,218-365-6415,Match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
28,Michael,Thornton,702 Grand Avenue,Orlando,FL,32809,920-979-9790,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
